Reference area,Source,Sex,Occupation,Time,Local currency,2017 PPP $,U.S. dollars
Armenia,LFS - Household Labour Force Survey,Total,Total,2020,121584.72,728.94,248.63
Armenia,LFS - Household Labour Force Survey,Male,Total,2020,143407.88,859.78,293.26
Armenia,LFS - Household Labour Force Survey,Female,Total,2020,100579.37,603.01,205.68
Belize,LFS - Labour Force Survey,Total,Total,2020,1020.00,724.96,510.00
Belize,LFS - Labour Force Survey,Male,Total,2020,1020.00,724.96,510.00
Belize,LFS - Labour Force Survey,Female,Total,2020,900.00,639.67,450.00
Bolivia,HIES - Encuesta de Hogares,Total,Total,2020,3339.02,1283.87,483.22
Bolivia,HIES - Encuesta de Hogares,Male,Total,2020,3494.98,1343.84,505.79
Bolivia,HIES - Encuesta de Hogares,Female,Total,2020,3093.90,1189.62,447.74
Bosnia and Herzegovina,LFS - Labour Force Survey,Total,Total,2020,1235.39,1579.98,719.52
Bosnia and Herzegovina,LFS - Labour Force Survey,Male,Total,2020,1309.79,1675.14,762.85
Bosnia and Herzegovina,LFS - Labour Force Survey,Female,Total,2020,1112.74,1423.12,648.08
Costa Rica,LFS - Encuesta Continua de Empleo,Total,Total,2020,530199.00,1471.14,906.48
Costa Rica,LFS - Encuesta Continua de Empleo,Male,Total,2020,521155.00,1446.04,891.01
Costa Rica,LFS - Encuesta Continua de Empleo,Female,Total,2020,544099.00,1509.71,930.24
Cyprus,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,2242.57,3416.57,2561.45
Cyprus,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,2553.81,3890.76,2916.95
Cyprus,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,1896.37,2889.15,2166.03
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Total,Total,2020,472.23,,472.23
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Male,Total,2020,446.53,,446.53
Ecuador,"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Female,Total,2020,525.57,,525.57
Estonia,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,1920.38,3137.14,2193.45
Estonia,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,2149.90,3512.07,2455.60
Estonia,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,1699.39,2776.12,1941.04
Germany,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,4543.55,5733.15,5189.62
Germany,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,5466.92,6898.29,6244.29
Germany,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,3502.17,4419.12,4000.16
Greece,LFS - Labour Force Survey,Total,Total,2020,905.56,1440.93,1034.33
Greece,LFS - Labour Force Survey,Male,Total,2020,964.12,1534.10,1101.21
Greece,LFS - Labour Force Survey,Female,Total,2020,839.11,1335.19,958.43
Hungary,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,967.43,,
Hungary,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,1036.50,,
Hungary,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,889.64,,
Indonesia,LFS - National Labour Force Survey,Total,Total,2020,2561509.93,490.35,175.66
Indonesia,LFS - National Labour Force Survey,Male,Total,2020,2752550.31,526.92,188.76
Indonesia,LFS - National Labour Force Survey,Female,Total,2020,2186555.67,418.57,149.95
Italy,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,3190.90,4304.65,3644.63
Italy,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,3555.29,4796.23,4060.84
Italy,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,2740.04,3696.42,3129.66
Lithuania,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,1308.62,2589.58,1494.70
Lithuania,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,1439.45,2848.48,1644.13
Lithuania,HIES - EU Statistics on Income and Living Conditions,Female,Total,2020,1182.69,2340.38,1350.86
Mali,LFS - Enquête Emploi Permanente Auprès des Ménages (EPAM),Total,Total,2020,81011.21,420.61,140.75
Mali,LFS - Enquête Emploi Permanente Auprès des Ménages (EPAM),Male,Total,2020,86919.14,451.29,151.01
Mali,LFS - Enquête Emploi Permanente Auprès des Ménages (EPAM),Female,Total,2020,61707.62,320.39,107.21
Malta,HIES - EU Statistics on Income and Living Conditions,Total,Total,2020,2252.47,3488.70,2572.76
Malta,HIES - EU Statistics on Income and Living Conditions,Male,Total,2020,2434.88,3771.22,2781.11
