Time,Time Code,Country Name,Country Code,Ratio of female to male labor force participation rate (%) (modeled ILO estimate) [SL.TLF.CACT.FM.ZS],"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) [SE.TER.CUAT.BA.FE.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) [SE.TER.CUAT.BA.MA.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.LO.FE.ZS]","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) [SE.SEC.CUAT.LO.MA.ZS]","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.LO.ZS]","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) [SE.PRM.CUAT.FE.ZS]","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) [SE.PRM.CUAT.MA.ZS]","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative) [SE.PRM.CUAT.ZS]","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative) [SE.SEC.CUAT.UP.FE.ZS]","Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative) [SE.SEC.CUAT.UP.MA.ZS]","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]"
2020,YR2020,Armenia,ARM,67.21826039,23.83637047,24.67288971,24.20972061,96.00138092,97.05095673,96.46981812,99.20126343,99.50971985,99.33892822,89.96639252,89.77474213,89.88085938
2020,YR2020,Bahrain,BHR,50.52562023,26.66399002,21.72740936,23.33375931,79.90357208,83.08016205,82.04650879,87.37264252,95.79521942,93.05454254,67.18782043,69.48377991,68.73667908
2020,YR2020,Bangladesh,BGD,43.97163988,10.52626991,17.78063011,14.1016798,50.61270905,58.54695892,54.52320862,58.94335938,66.91046906,62.87005997,31.95652962,41.7237587,36.77043915
2020,YR2020,Belize,BLZ,60.412329,9.062490463,6.701129913,7.882559776,54.48728943,49.83901978,52.16463852,81.47335815,81.39949036,81.43644714,45.82646942,40.74151993,43.28562927
2020,YR2020,Bolivia,BOL,73.66685371,25.5882206,28.16563034,26.82304955,60.10496902,69.68730927,64.69583893,68.43717957,80.70606995,74.31517029,55.35773849,63.42150879,59.22106934
2020,YR2020,Colombia,COL,66.2366566,13.53649998,12.10079956,12.84636021,58.85783005,56.54455185,57.74583054,81.95783997,80.86952972,81.43467712,54.23527145,51.98358154,53.15287018
2020,YR2020,Costa Rica,CRI,65.38937549,22.5288105,20.54173088,21.60569,56.2360611,54.53149033,55.44419098,83.07739258,83.09046936,83.08347321,42.19802094,39.48059082,40.93561172
2020,YR2020,Cyprus,CYP,81.68247227,30.50217056,29.04001045,29.79525948,81.13751221,84.81717682,82.91652679,94.56712341,97.50434875,95.98719025,73.36621857,75.64958191,74.47016144
2020,YR2020,Ecuador,ECU,67.00288817,12.88368988,10.88531971,11.94242001,53.01758957,52.00579071,52.54101181,81.66766357,85.25921631,83.35935974,43.934021,42.73015976,43.36698151
2020,YR2020,El Salvador,SLV,59.60261367,7.645189762,9.406299591,8.431300163,42.65145111,51.43286896,46.5712204,58.32149124,66.40808868,61.93111038,31.18354034,36.62556839,33.61270142
